rva	class	size	subsystem	name
0x0041f290	race_gated	36	gameplay	FUN_0041f290
0x0045bac0	race_gated	28	powerups	PowerupSlotDeactivate
0x0046cc10	race_gated	41	ai	FUN_0046cc10
0x005b0f40	race_gated	15	audio	FUN_005b0f40
0x005b8080	race_gated	15	audio	FUN_005b8080
0x004039c0	exercised_prerace	23	vehicle	FUN_004039c0
0x0040d020	exercised_prerace	21	track	FUN_0040d020
0x0047a0f0	exercised_prerace	59	track	FUN_0047a0f0
0x0047b860	exercised_prerace	22	input	FUN_0047b860
0x0047b880	exercised_prerace	25	input	FUN_0047b880
0x00494460	exercised_prerace	32	frontend	sub_00494460
0x00494480	exercised_prerace	38	video	FUN_00494480
0x00495110	exercised_prerace	11	util	FUN_00495110
0x0049f210	exercised_prerace	19	particle	FUN_0049f210
0x00404820	never	13	hud	FUN_00404820
0x0041a3d0	never	13	boot	FUN_0041a3d0
0x0041b440	never	11	render	FUN_0041b440
0x0041c2c0	never	13	boot	FUN_0041c2c0
0x004292d0	never	39	util	sub_004292d0
0x00483a40	never	41	vehicle	FUN_00483a40
0x00489240	never	11	sky	SkySecondaryDispatch
0x0048bc10	never	13	particle	FUN_0048bc10
0x004cbb50	never	11	render	FUN_004cbb50
0x005571c0	never	25	hud	FontSys_ShutdownFontPool
0x0041da80	never	13	boot	c0
0x0041de70	never	13	boot	c0
0x00425ed0	never	13	boot	c0
0x0041beb0	never	14	render	c0
0x0041cb00	never	14	render	c0
0x0041d6d0	never	14	render	c0
0x004b4120	never	16	render	c0
0x00499cc0	never	18	boot	c0
0x005b1080	race_gated	18	audio	c0
0x00421690	never	22	render	c0
0x00454f80	never	22	render	c0
0x00491780	exercised_prerace	23	render	c0
0x005ae380	never	24	audio	c0
0x005a6c90	never	25	audio	c0
0x005ad8b0	never	25	audio	c0
0x00421980	race_gated	26	render	c0
0x00496ce0	never	27	boot	c0
0x004c7600	exercised_prerace	28	render	c0
0x005bcd80	never	28	audio	c0
0x00496470	never	29	boot	c0
0x00421960	race_gated	30	audio	c0
0x004960e0	exercised_prerace	30	boot	c0
0x004b7fd0	exercised_prerace	31	render	c0
0x004c0ed0	exercised_prerace	31	render	c0
0x004b9600	exercised_prerace	33	input	c1
0x005aeed0	race_gated	33	audio	c1
